Song,IntroLength,LoopPoint
somnom woods,790640,5886832
fawful castle,314512,3338903
cavi cape,336113,3222735
bowser castle ss,857843,3471337
grand finale,407547,4070802
victory ss,177615,855390
woohoo hooniversity,868151,2020613
temple of shrooms,402202,4198144
Fortune Island,143644,4241237
musee,586518,5282972
darkness falls,0,-1
rose battle,574939,4111286
diggy diggy hole,830720,9901440
cornered,287687,-1
pigstep,1026205,5009711
k.k. cornered,354683,2036520
k.k. roof,355076,5822852
k.k.'s mansion,226700,3225754
snif city,70081,3910172
Origami King Boss,523291,4292488
King Bowser,1082521,4389314
King Bowser Thinking,1082521,4389314
megalovania,0,-1
